"session","created","modified","ended","expired","psid","respondentID","maxSalestax","doePath","doe","salesTaxpath","n1_1type","n1_1amount","n1_2type","n1_2amount","n1_2timing","n1_2timing2","n1_3type","n1_3amount","n1_4type","n1_4amount","n1_4timing","n1_4from","n2_1type","n2_1amount","n2_2type","n2_2amount","n2_2timing","n2_2timing2","n2_3type","n2_3amount","n2_4type","n2_4amount","n2_4timing","n2_4from","n3_1type","n3_1amount","n3_2type","n3_2amount","n3_2timing","n3_2timing2","n3_3type","n3_3amount","n3_4type","n3_4amount","n3_4timing","n3_4from","n4_1type","n4_1amount","n4_2type","n4_2amount","n4_2timing","n4_2timing2","n4_3type","n4_3amount","n4_4type","n4_4amount","n4_4timing","n4_4from","n5_1type","n5_1amount","n5_2type","n5_2amount","n5_2timing","n5_2timing2","n5_3type","n5_3amount","n5_4type","n5_4amount","n5_4timing","n5_4from","n6_1type","n6_1amount","n6_2type","n6_2amount","n6_2timing","n6_2timing2","n6_3type","n6_3amount","n6_4type","n6_4amount","n6_4timing","n6_4from","n7_1type","n7_1amount","n7_2type","n7_2amount","n7_2timing","n7_2timing2","n7_3type","n7_3amount","n7_4type","n7_4amount","n7_4timing","n7_4from","n8_1type","n8_1amount","n8_2type","n8_2amount","n8_2timing","n8_2timing2","n8_3type","n8_3amount","n8_4type","n8_4amount","n8_4timing","n8_4from","n9_1type","n9_1amount","n9_2type","n9_2amount","n9_2timing","n9_2timing2","n9_3type","n9_3amount","n9_4type","n9_4amount","n9_4timing","n9_4from","n10_1type","n10_1amount","n10_2type","n10_2amount","n10_2timing","n10_2timing2","n10_3type","n10_3amount","n10_4type","n10_4amount","n10_4timing","n10_4from","n1_1amount_label","n2_1amount_label","n3_1amount_label","n4_1amount_label","n5_1amount_label","n6_1amount_label","n7_1amount_label","n8_1amount_label","n9_1amount_label","n10_1amount_label","systime_cbc1_start","cbc1","systime_cbc1_end","cbc2","systime_cbc2_end","cbc3","systime_cbc3_end","cbc4","systime_cbc4_end","cbc5","systime_cbc5_end","cbc6","systime_cbc6_end","cbc7","systime_cbc7_end","cbc8","systime_cbc8_end","cbc9","systime_cbc9_end","cbc10","systime_cbc10_end","cbcSummary","cbcAllSame"
"Q1cpNOeVEvMC9pQoJjWs9JBvJRhJj8BvNs_Mc6vqDdAgB_Q2SWEVj-tCKx8oV8Ho","2021-08-23 19:10:20","2021-08-23 19:12:54","2021-08-23 19:12:54","","FQZxCw4glWxhgP4X2uZb6Q**","3465","1500","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$3,500","Rebate","$7,500","2 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,000","Time of Sale","Government","Sales Tax Exemption","1","Tax Credit","$8,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,500","Rebate","$1,000","Time of Sale","Government","Sales Tax Exemption","1","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$7,000","Rebate","$1,500","Time of Sale","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$5,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$8,000","Rebate","$5,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$4,000","Rebate","$4,500","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,000","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$4,000","Time of Sale","","Tax Deduction","$4,500","Rebate","$5,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$4,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$3,000","Rebate","$5,000","2 weeks after purchase","Auto Manufacturer","800","1,500","1,500","1,500","1,500","1,100","1,500","1,500","1,100","1,100","2021-08-23 19:10:29","4","2021-08-23 19:10:51","1","2021-08-23 19:11:09","2","2021-08-23 19:11:23","2","2021-08-23 19:11:46","1","2021-08-23 19:11:59","4","2021-08-23 19:12:15","4","2021-08-23 19:12:27","1","2021-08-23 19:12:39","4","2021-08-23 19:12:47","4","2021-08-23 19:12:54","Array","0"
"0wWA_ORMW76sO7rUx2eKSI9xXeiXA_WMMmn-ojJRle6DDxSNlYMIfgGvlKslN2bo","2021-08-23 19:10:23","2021-08-23 19:13:24","2021-08-23 19:13:24","","FQZxCw4glWzNynlQ86vQbQ**","3625","1125","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.75","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$4,000","Rebate","$5,000","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,000","Rebate","$1,000","6 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$7,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,500","Rebate","$7,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$5,000","Time of Sale","","Tax Deduction","$7,500","Rebate","$1,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$1,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$6,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$3,000","Rebate","$1,000","6 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$3,500","Time of Sale","","Tax Deduction","$1,000","Rebate","$1,500","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$2,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$4,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$4,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,000","Rebate","$6,500","Time of Sale","Dealer","800","1,100","600","600","1,100","600","600","1,100","600","800","2021-08-23 19:10:33","4","2021-08-23 19:10:57","2","2021-08-23 19:11:43","4","2021-08-23 19:12:00","2","2021-08-23 19:12:10","1","2021-08-23 19:12:21","2","2021-08-23 19:12:46","2","2021-08-23 19:12:52","4","2021-08-23 19:13:05","2","2021-08-23 19:13:17","4","2021-08-23 19:13:24","Array","0"
"08PoyoMFrLjUgoJGYkTvb5BtbqSiNfM5OVcPMW04tK0mFc0MAQsWqeNxyaB4_wcg","2021-08-23 19:10:24","2021-08-23 19:12:13","2021-08-23 19:12:14","","FQZxCw4glWym5R0GgGvoKA**","9362","1125","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$7,000","Time of Sale","","Tax Deduction","$8,000","Rebate","$6,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,500","Time of Sale","Dealer","Sales Tax Exemption","0.5","Tax Credit","$8,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,000","Rebate","$3,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$5,000","Rebate","$5,000","Time of Sale","Government","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$7,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$8,000","Rebate","$1,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$4,000","Rebate","$4,500","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$1,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$3,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$2,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$7,500","Time of Sale","","Tax Deduction","$6,500","Rebate","$6,000","2 weeks after purchase","Auto Manufacturer","600","1,100","600","1,100","1,100","600","600","1,100","1,100","800","2021-08-23 19:10:33","2","2021-08-23 19:10:50","4","2021-08-23 19:11:00","4","2021-08-23 19:11:09","4","2021-08-23 19:11:16","3","2021-08-23 19:11:26","3","2021-08-23 19:11:35","4","2021-08-23 19:11:49","2","2021-08-23 19:11:59","2","2021-08-23 19:12:05","2","2021-08-23 19:12:14","Array","0"
"v96WVsKvqbfIlVFe19VHVuJURCScVsbK1ZX6CxvFiXw87tpbJJ-hFFTYiKjB66VT","2021-08-23 19:10:29","2021-08-23 19:13:07","2021-08-23 19:13:08","","FQZxCw4glWz_MUI3ccjC_w**","4462","1125","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$6,500","Rebate","$4,000","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$7,500","Time of Sale","","Tax Deduction","$2,000","Rebate","$8,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$2,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,000","Rebate","$2,000","2 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$2,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$1,000","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$5,000","Time of Sale","","Tax Deduction","$3,500","Rebate","$6,500","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$2,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$6,000","Rebate","$4,000","6 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$4,500","2 weeks after purchase","Dealer","600","1,100","800","800","1,100","800","1,100","1,100","600","600","2021-08-23 19:10:43","4","2021-08-23 19:11:00","2","2021-08-23 19:11:23","2","2021-08-23 19:11:34","4","2021-08-23 19:11:51","4","2021-08-23 19:12:09","2","2021-08-23 19:12:27","2","2021-08-23 19:12:40","4","2021-08-23 19:12:47","4","2021-08-23 19:12:55","4","2021-08-23 19:13:07","Array","0"
"aRfbOdcyEquyUGZ1gBORmcLG7VGRs61ZSkRB7Rlb4xe_MP5oq-qECHylR5Pqxr3-","2021-08-23 19:10:30","2021-08-23 19:11:57","2021-08-23 19:11:58","","FQZxCw4glWy-9pEVlCLGJg**","2435","3750","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$1,000","Rebate","$5,000","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$2,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$3,500","Rebate","$4,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$3,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$5,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$2,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$7,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,000","Rebate","$7,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,500","Rebate","$3,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,500","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$3,500","Time of Sale","","Tax Deduction","$4,500","Rebate","$7,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$7,500","Time of Sale","","Tax Deduction","$3,500","Rebate","$3,500","6 weeks after purchase","Auto Manufacturer","1,900","3,800","2,800","3,800","3,800","2,800","1,900","3,800","2,800","3,800","2021-08-23 19:10:41","2","2021-08-23 19:10:48","2","2021-08-23 19:10:54","4","2021-08-23 19:10:59","4","2021-08-23 19:11:17","1","2021-08-23 19:11:23","2","2021-08-23 19:11:27","3","2021-08-23 19:11:33","1","2021-08-23 19:11:40","4","2021-08-23 19:11:52","2","2021-08-23 19:11:57","Array","0"
"I-wozgNoN7TmvuwdI4njhYLPmfJVtyg7sTK3RxAUYIYjQLo16eZAgjmzQ0UwJ6z8","2021-08-23 19:10:36","2021-08-23 19:12:23","2021-08-23 19:12:24","","FQZxCw4glWy8NAS1IBg0RQ**","861","1875","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$8,000","Time of Sale","","Tax Deduction","$1,000","Rebate","$5,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,500","6 weeks after purchase","Government","Sales Tax Exemption","0.75","Tax Credit","$6,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,000","Rebate","$7,500","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$5,500","Time of Sale","","Tax Deduction","$8,000","Rebate","$5,500","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,500","Rebate","$7,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$2,500","Time of Sale","","Tax Deduction","$2,500","Rebate","$5,000","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$2,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$4,000","Time of Sale","","Tax Deduction","$5,000","Rebate","$6,500","2 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$3,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,500","6 weeks after purchase","Dealer","900","1,900","1,400","900","1,900","900","900","1,900","900","900","2021-08-23 19:10:42","4","2021-08-23 19:10:58","1","2021-08-23 19:11:08","4","2021-08-23 19:11:18","2","2021-08-23 19:11:29","4","2021-08-23 19:11:36","4","2021-08-23 19:11:46","4","2021-08-23 19:11:58","4","2021-08-23 19:12:05","4","2021-08-23 19:12:13","4","2021-08-23 19:12:24","Array","0"
"jtDzFx_IzNrKsbI1ttCtDwZVffUIv28_qGvdjbBwoaYULGqD_wUq5OJEZkNvMfKu","2021-08-23 19:10:39","2021-08-23 19:12:41","2021-08-23 19:12:41","","FQZxCw4glWyFLbnDjMRntQ**","2242","750","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","1","Tax Credit","$4,000","Time of Sale","","Tax Deduction","$8,000","Rebate","$5,000","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,000","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$5,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$6,000","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$3,000","Rebate","$5,000","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$1,000","2 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$3,000","Rebate","$4,000","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$7,500","Rebate","$1,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,000","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,500","Rebate","$7,500","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$3,500","Time of Sale","","Tax Deduction","$7,000","Rebate","$4,500","2 weeks after purchase","Auto Manufacturer","800","800","600","800","800","800","800","800","800","800","2021-08-23 19:10:47","4","2021-08-23 19:11:11","2","2021-08-23 19:11:30","4","2021-08-23 19:11:36","4","2021-08-23 19:11:47","2","2021-08-23 19:11:57","4","2021-08-23 19:12:04","3","2021-08-23 19:12:13","2","2021-08-23 19:12:25","4","2021-08-23 19:12:34","3","2021-08-23 19:12:41","Array","0"
"VcJwdJT_GO5PsQ5hi4B8jJp4N-gFlh4OkRMCp4VhiW3dsEhirWi6uZyDcTXEaHVe","2021-08-23 19:10:40","2021-08-23 19:12:33","2021-08-23 19:12:33","","FQZxCw4glWyBZngmZ3By0w**","8879","2625","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$8,000","Rebate","$6,500","2 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$1,500","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$8,000","Time of Sale","","Tax Deduction","$4,500","Rebate","$6,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$7,000","Rebate","$1,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.75","Tax Credit","$4,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,500","Rebate","$5,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$6,000","Time of Sale","","Tax Deduction","$6,000","Rebate","$3,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$6,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,500","Rebate","$3,500","6 weeks after purchase","Government","Sales Tax Exemption","0.75","Tax Credit","$4,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$3,000","Rebate","$6,000","6 weeks after purchase","Auto Manufacturer","1,300","2,600","2,000","2,000","2,600","2,000","1,300","2,600","1,300","2,000","2021-08-23 19:10:48","3","2021-08-23 19:11:04","3","2021-08-23 19:11:16","4","2021-08-23 19:11:24","3","2021-08-23 19:11:31","1","2021-08-23 19:11:40","4","2021-08-23 19:11:52","3","2021-08-23 19:12:04","1","2021-08-23 19:12:14","3","2021-08-23 19:12:24","4","2021-08-23 19:12:33","Array","0"
"Lz5k8OiDKL-TdxCJhBrV15bIHM9pdPE-pOj_NdRXJaGjLZ81DoqrxoqZ52oVLWVq","2021-08-23 19:10:53","2021-08-23 19:13:49","2021-08-23 19:13:49","","FQZxCw4glWwBgoXTdF8afw**","8557","2625","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$2,500","Time of Sale","","Tax Deduction","$6,500","Rebate","$4,500","Time of Sale","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$1,000","Rebate","$1,500","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,000","Rebate","$6,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$6,000","Rebate","$4,500","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$2,000","Rebate","$2,000","2 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$7,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,000","Rebate","$4,500","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$3,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$4,000","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$1,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$4,000","Rebate","$6,500","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$7,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,000","Rebate","$7,000","6 weeks after purchase","Auto Manufacturer","1,300","2,600","2,000","1,300","2,600","1,300","2,600","2,600","2,600","2,000","2021-08-23 19:11:02","4","2021-08-23 19:11:50","4","2021-08-23 19:12:07","4","2021-08-23 19:12:17","1","2021-08-23 19:12:29","1","2021-08-23 19:12:50","1","2021-08-23 19:13:00","1","2021-08-23 19:13:14","1","2021-08-23 19:13:25","4","2021-08-23 19:13:40","1","2021-08-23 19:13:49","Array","0"
"nXokCfPcKDrdygNJMJzXyIpUEWrZdAQ2Fh4N1cAQoBea8qFJ_K71M91DL2bT5190","2021-08-23 19:10:56","2021-08-23 19:14:01","2021-08-23 19:14:01","","FQZxCw4glWwkMew4sa-6oA**","116","3000","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.75","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$5,000","Rebate","$3,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,000","6 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,000","Rebate","$2,500","2 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$7,000","Rebate","$7,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$2,000","Rebate","$2,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$3,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,000","Rebate","$3,500","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$4,000","Rebate","$6,500","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$2,000","Time of Sale","Government","Sales Tax Exemption","0.75","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$5,500","Rebate","$2,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$6,000","Time of Sale","","Tax Deduction","$1,000","Rebate","$2,000","Time of Sale","Auto Manufacturer","2,200","3,000","1,500","1,500","3,000","1,500","2,200","3,000","2,200","3,000","2021-08-23 19:11:11","4","2021-08-23 19:11:34","2","2021-08-23 19:11:55","4","2021-08-23 19:12:17","4","2021-08-23 19:12:38","1","2021-08-23 19:13:03","4","2021-08-23 19:13:16","4","2021-08-23 19:13:33","4","2021-08-23 19:13:45","2","2021-08-23 19:13:54","2","2021-08-23 19:14:01","Array","0"
